cell.id,area,gfpMeanBgAFsub,mcherryMeanBgAFsub,degron,red,treatment,experiment,exp.field,Elip_B,Elip_C,no.of.voxels,pos.x,pos.y,spheracity,volume,area.puncta,pos.x.puncta,pos.y.puncta,rfp.mean.bg.sub,dapi.mean.bg.sub,rfp.mean.bg.sub.puncta,dapi.mean.bg.sub.puncta,no.bud.scars
1000002204_20min_s6_mODC.3_tef2-mCherry_none,2799.07,25.734044444444436,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,21.9898,24.0886,1322,733.996,56.4697,0.321922,2543.43,168.057,740.1,74.2,533.413,1194.40425,417.61800000000005,1500.58425,1
1000002206_20min_s6_mODC.3_tef2-mCherry_none,5083.98,98.15304444444442,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,29.1535,33.3523,2437,394.539,416.105,0.268328,4737.8,192.934,385.1,440.886,588.2470000000001,1730.83425,554.999,1389.81425,3
1000002207_20min_s6_mODC.3_tef2-mCherry_none,1855.6,82.89004444444444,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,16.9396,20.4628,866,502.921,294.358,0.364222,1652.15,NA,NA,NA,518.451,713.0942500000001,NA,NA,0
1000002208_20min_s6_mODC.3_tef2-mCherry_none,3301.35,228.82004444444445,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,22.3558,28.0061,1564,700.987,115.604,0.306052,3019.98,579.988,715.388,124.496,560.484,1179.77425,472.6020000000001,2062.43425,1
1000002209_20min_s6_mODC.3_tef2-mCherry_none,1293.64,49.75104444444443,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,14.4991,16.4362,595,351.673,447.154,0.40418,1124.23,NA,NA,NA,640.393,659.5242499999999,NA,NA,0
1000002210_20min_s6_mODC.3_tef2-mCherry_none,1291.83,107.60904444444444,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,14.4558,16.8071,595,243.769,556.924,0.403355,1118.43,NA,NA,NA,425.4630000000001,1012.07425,NA,NA,0
1000002212_20min_s6_mODC.3_tef2-mCherry_none,1837,56.64004444444444,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,16.3211,21.2584,857,566.124,243.576,0.364615,1630.01,NA,NA,NA,538.741,554.68825,NA,NA,0
1000002213_20min_s6_mODC.3_tef2-mCherry_none,1459.79,47.03004444444443,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,15.5817,17.6283,676,200.766,604.095,0.389786,1276.29,NA,NA,NA,300.663,427.97225,NA,NA,0
1000002214_20min_s6_mODC.3_tef2-mCherry_none,2149.76,293.55304444444437,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,18.3277,22.0647,1006,615.733,200.329,0.34847,1928.01,NA,NA,NA,500.9870000000001,702.95425,NA,NA,0
1000002215_20min_s6_mODC.3_tef2-mCherry_none,4515.63,85.09704444444444,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,28.2946,30.4473,2159,653.424,180.48,0.278417,4191.75,223.823,629.171,188.665,570.283,882.22425,420.414,1291.86425,3
1000002216_20min_s6_mODC.3_tef2-mCherry_none,5263.98,144.49104444444444,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,30.051,33.5273,2527,468.406,372.27,0.265675,4917.8,133.946,489.811,368.411,499.56500000000005,1890.39425,525.7520000000001,1209.16425,3
1000002217_20min_s6_mODC.3_tef2-mCherry_none,4275.87,110.70604444444442,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,25.7579,31.6644,2042,240.719,597.483,0.28314,3961.06,13.4972,262.5,594.5,439.2190000000001,1148.79425,490.085,1612.85425,2
1000002218_20min_s6_mODC.3_tef2-mCherry_none,1936.99,131.69804444444443,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,15.5886,23.1121,903,272.837,551.473,0.3588,1722.83,NA,NA,NA,600.9490000000001,760.0442499999999,NA,NA,0
1000002219_20min_s6_mODC.3_tef2-mCherry_none,3276.58,79.75804444444444,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,23.3582,26.5503,1555,360.699,370.6,0.307196,3002.8,296.339,351.915,386.746,596.032,1002.74425,567.797,2138.09425,1
1000002220_20min_s6_mODC.3_tef2-mCherry_none,2630.95,53.01904444444446,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,20.9116,23.8765,1240,680.69,47.8895,0.327912,2382.75,460.039,686.056,29.7995,540.118,1225.87425,419.0640000000001,2737.9842500000004,1
1000002221_20min_s6_mODC.3_tef2-mCherry_none,1100.16,180.8720444444444,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,12.9997,15.6617,504,648.387,66.5635,0.422475,942.235,NA,NA,NA,581.095,962.10425,NA,NA,0
1000002222_20min_s6_mODC.3_tef2-mCherry_none,3594.24,208.17004444444447,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,24.5326,27.7982,1709,112.272,628.234,0.298533,3305,272.432,95.1019,618.518,391.4290000000001,281.12025000000006,321.25199999999995,1348.78425,1
1000002223_20min_s6_mODC.3_tef2-mCherry_none,4513.69,80.04504444444441,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,26.7044,32.2421,2157,495.295,249.988,0.278286,4186.09,610.318,491.637,273.344,477.85,1387.40425,412.937,4062.4542500000007,3
1000002225_20min_s6_mODC.3_tef2-mCherry_none,1858.31,37.91604444444445,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,17.7403,19.6098,869,536.207,195.587,0.36457,1658.15,NA,NA,NA,568.121,366.75225,NA,NA,0
1000002226_20min_s6_mODC.3_tef2-mCherry_none,1293.56,384.9650444444444,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,14.4509,16.6684,597,645.073,90.4179,0.40437,1124.92,NA,NA,NA,712.894,893.8742500000001,NA,NA,0
1000002227_20min_s6_mODC.3_tef2-mCherry_none,3392.7,64.55104444444444,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,24.8218,25.9522,1611,341.047,413.029,0.303798,3111.49,371.415,348.684,432.928,620.695,982.62425,617.019,2209.34425,1
1000002229_20min_s6_mODC.3_tef2-mCherry_none,4374.29,107.46304444444442,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,28.1074,29.6949,2091,203.997,565.564,0.281239,4057.4,451.025,223.69,560.533,421.418,884.0842500000001,409.8190000000001,2564.30425,3
1000002230_20min_s6_mODC.3_tef2-mCherry_none,3470.54,103.63504444444445,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,22.8815,28.8225,1649,405.82,363.747,0.301748,3186.66,NA,NA,NA,488.818,920.64425,NA,NA,0
1000002231_20min_s6_mODC.3_tef2-mCherry_none,3139.45,110.47904444444444,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,22.6754,26.2659,1489,572.468,193.416,0.311207,2871.63,NA,NA,NA,416.44900000000007,347.6002500000001,NA,NA,0
1000002233_20min_s6_mODC.3_tef2-mCherry_none,2286.87,168.91504444444442,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,17.9829,23.8864,1073,532.531,234.637,0.341944,2056.21,NA,NA,NA,560.749,503.80725000000007,NA,NA,0
1000002234_20min_s6_mODC.3_tef2-mCherry_none,4182.53,72.33104444444442,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,27.7363,28.7296,1998,55.0145,725.261,0.285236,3874.72,544.244,74.5441,736.099,449.072,1087.23425,426.1600000000001,3845.91425,2
1000002235_20min_s6_mODC.3_tef2-mCherry_none,2311.31,121.75004444444446,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,19.517,22.3348,1084,436.629,337.873,0.341098,2081.52,NA,NA,NA,540.7510000000001,1038.09425,NA,NA,0
