cell.id,f,dy,dm,value,degron,red,treatment,model,aic,exp.field,colony,gfp.mean.bg.af.sub.new,area,Elip_B,Elip_C,no.of.voxels,pos.x,pos.y,spheracity,rfp.mean.bg.sub.puncta,rfp.sum.bg.sub.puncta,dapi.sum.bg.sub.puncta,dapi.mean.bg.sub.puncta
1000000199_20min_s5_mODC_pup1-rfp_1uM,0,0.03549815856381212,1.0441285455638565,0.01962649732108158,yeGFP-mODC,pup1-rfp,1uM,dy.dm.f.0.1,-222.31071970890247,20min_s5,2,534.2068,3403.92,23.0295,27.9964,1616,342.202,744.184,0.303552,175.3086,41548.1602,5700.729999999996,24.054
1000000199_20min_s6_mODC_pup1-rfp_5uM,0.1,0.00818784369229394,3.5651025158944245,0.01773251080913743,yeGFP-mODC,pup1-rfp,5uM,dy.dm.f.0.1,-225.4566255540137,20min_s6,2,706.78875,2389.44,20.1008,22.3272,1125,548.015,645.307,0.338123,108.316,4224.32,615.0910000000003,15.77200000000002
1000000199_20min_s8_mODC_pup1-rfp_2.5uM,0.1,0.02712919950903452,3.1621816782278653,0.01892385514149308,yeGFP-mODC,pup1-rfp,2.5uM,dy.dm.f.0.1,-223.44089459483743,20min_s8,3,316.345,3430.49,23.2384,27.9792,1630,596.467,431.58,0.302946,168.28300000000002,56543.032,6006.031999999999,17.875
1000000199_20min_s8_mODC_pup1-rfp_5uM,0,0.01689479969798363,27.261928226925367,0.00672511329673041,yeGFP-mODC,pup1-rfp,5uM,dy.dm.f.0.1,-255.5127050417388,20min_s8,3,424.31775,3805.19,22.8873,31.6631,1812,622.885,587.662,0.293212,189.561,63123.914,7165.2149999999965,21.516999999999996
1000000200_20min_s3_mODC_pup1-rfp_2.5uM,0.1,0.03357588379878525,3199.1767236021597,0.01464841311769701,yeGFP-mODC,pup1-rfp,2.5uM,dy.dm.f.0.1,-231.37972467795208,20min_s3,1,392.785,3387.26,22.9617,28.0369,1609,875.188,145.992,0.30397,192.04700000000005,51852.59,8869.659999999996,32.851
1000000200_20min_s5_mODC_pup1-rfp_dmso2,0,0.07816399579177115,1.6082054097977094,0.01557726252694955,yeGFP-mODC,pup1-rfp,DMSO,dy.dm.f.0.1,-229.47383504574952,20min_s5,2,277.06312026286605,3748.93,25.1518,28.4188,1785,97.658,274.462,0.294688,103.465,9415.317,2262.6990000000005,24.86499999999998
1000000200_20min_s6_mODC_pup1-rfp_dmso2,0,0.08901913595595552,0.5510407328294957,0.02707140050031054,yeGFP-mODC,pup1-rfp,DMSO,dy.dm.f.0.1,-212.3412039927834,20min_s6,2,220.36912026286603,4064.74,25.6909,30.2674,1939,229.324,225.731,0.28747,183.338,52068.056,5149.4360000000015,18.132000000000005
1000000200_20min_s7_mODC_pup1-rfp_1uM,0.1,0.09932546425166516,243.0138822435676,0.21043248395382536,yeGFP-mODC,pup1-rfp,1uM,dy.dm.f.0.1,-148.76990631626543,20min_s7,3,150.10799999999998,3465.27,23.2465,28.2913,1648,320.665,878.007,0.302081,149.784,29357.592,2923.815999999999,14.917000000000002
1000000200_20min_s8_mODC_pup1-rfp_2.5uM,9.527869557692324e-19,0.04269751602637073,392.1275788354285,0.03462092174426394,yeGFP-mODC,pup1-rfp,2.5uM,dy.dm.f.0.1,-204.7158135931352,20min_s8,3,235.557,2505.13,20.658,22.7798,1181,696.453,330.032,0.333402,104.733,11415.933,1923.933000000001,17.65100000000001
1000000200_20min_s8_mODC_pup1-rfp_5uM,0.00679246120572075,0.04741907885781441,0.21096845418427412,0.01997406317935226,yeGFP-mODC,pup1-rfp,5uM,dy.dm.f.0.1,-221.76654466972352,20min_s8,3,477.11975000000007,2818.5,20.9437,25.3926,1331,544.947,662.292,0.321279,205.164,48008.372,6983.07,29.841999999999985
1000000201_20min_s3_mODC_pup1-rfp_2.5uM,0,0.03583659875298832,23.475743801959588,0.02836813311045077,yeGFP-mODC,pup1-rfp,2.5uM,dy.dm.f.0.1,-210.89075729802167,20min_s3,1,508.509,3047.18,22.7506,25.3266,1444,162.575,863.74,0.314083,115.027,19094.422,2040.2279999999955,12.290999999999997
1000000201_20min_s5_mODC_pup1-rfp_1uM,0,0.04518044900384579,0.7754133102691506,0.01164892803250044,yeGFP-mODC,pup1-rfp,1uM,dy.dm.f.0.1,-238.4823779840708,20min_s5,2,464.9088,3055.81,23.0891,25.1342,1448,567.294,518.407,0.31361,169.48360000000002,39998.0456,6476.439999999995,27.442999999999984
1000000201_20min_s5_mODC_pup1-rfp_2.5uM,0.1,0.01481896933985811,1365.6978151670946,0.06432247848042598,yeGFP-mODC,pup1-rfp,2.5uM,dy.dm.f.0.1,-185.51283309825803,20min_s5,2,553.068,3486.12,25.4163,26.1696,1657,562.293,487.68,0.301508,185.00575,48656.47225,6132.106,23.316000000000003
1000000201_20min_s6_mODC_pup1-rfp_2.5uM,0.1,0.13173894191124744,1054.5371686551846,0.19644462916268907,yeGFP-mODC,pup1-rfp,2.5uM,dy.dm.f.0.1,-150.90221819625506,20min_s6,2,84.79299999999998,1265.79,13.6847,16.9735,582,141.861,768.539,0.406884,139.60600000000002,21778.516,3377.199999999997,21.649
1000000201_20min_s7_mODC_pup1-rfp_1uM,0.1,0.05767201315274488,237.66202471182277,0.08481337374198239,yeGFP-mODC,pup1-rfp,1uM,dy.dm.f.0.1,-176.93996656036455,20min_s7,3,241.962,2703.94,22.225,23.0214,1277,672.841,520.382,0.325413,99.89,8490.67,1450.66,17.067000000000007
1000000201_20min_s7_mODC_pup1-rfp_2.5uM,0,0.07907947268837308,1661.6402359539838,0.03375833580234278,yeGFP-mODC,pup1-rfp,2.5uM,dy.dm.f.0.1,-205.4979684071748,20min_s7,3,105.78799999999998,2859.84,20.8357,25.9477,1353,150.061,815.006,0.320045,169.092,46162.227,3613.385000000002,13.236000000000018
1000000201_20min_s7_mODC_pup1-rfp_5uM,0.1,0.02211282629726812,40.59206704633732,0.03573113577729393,yeGFP-mODC,pup1-rfp,5uM,dy.dm.f.0.1,-203.7373207489469,20min_s7,3,485.08375,4434.41,26.4294,32.0607,2119,831.878,175.344,0.279823,162.986,49058.903,3651.4199999999983,12.131
1000000201_20min_s8_mODC_pup1-rfp_1uM,0.1,0.03947077378442904,66.78118158829248,0.06490120702748745,yeGFP-mODC,pup1-rfp,1uM,dy.dm.f.0.1,-185.23516411157823,20min_s8,3,429.7489999999999,1688.83,15.6395,20.1415,786,481.079,684.402,0.374054,114.434,13159.92,1071.9449999999997,9.320999999999998
1000000201_20min_s8_mODC_pup1-rfp_5uM,0,0.03135035256361197,0.9177029430307092,0.00461595760442187,yeGFP-mODC,pup1-rfp,5uM,dy.dm.f.0.1,-267.1789173024174,20min_s8,3,552.8367499999999,3721.94,23.9478,29.5061,1771,689.933,531.948,0.295361,199.58599999999996,52291.596,6290.009999999995,24.00799999999998
